,ESTU_GENERO,ESTU_FECHANACIMIENTO,PERIODO,ESTU_CONSECUTIVO,ESTU_PAIS_RESIDE,ESTU_DEPTO_RESIDE,ESTU_COD_RESIDE_DEPTO,ESTU_MCPIO_RESIDE,ESTU_COD_RESIDE_MCPIO,ESTU_ESTADOCIVIL,ESTU_GRADUO_BACHILLER,ESTU_FECHAGRADOBACHILLER,ESTU_MES_TERMINOBACHILLER,ESTU_ANO_TERMINOBACHILLER,ESTU_ANO_EXAMENESTADO_SB11,ESTU_SEMESTRE_EXAMENESTADOSB11,ESTU_PORCENTAJECREDITOSAPROB,ESTU_VALORMATRICULAUNIVERSIDAD,ESTU_PAGOMATRICULABECA,ESTU_PAGOMATRICULACREDITO,ESTU_PAGOMATRICULAPADRES,ESTU_PAGOMATRICULAPROPIO,ESTU_SEMESTRECURSA,ESTU_ULTIMOGRADOAPROBO,ESTU_ANOTERMINOULTIMOGRADO,ESTU_VECESPRESENTOEXAMEN,FAMI_HOGARACTUAL,FAMI_CABEZAFAMILIA,FAMI_NUMPERSONASACARGO,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_OCUPACIONPADRE,FAMI_OCUPACIONMADRE,FAMI_ESTRATOVIVIENDA,FAMI_NIVEL_SISBEN,FAMI_PERSONASHOGAR,FAMI_CUARTOSHOGAR,FAMI_PISOS_HOGAR,FAMI_TIENEINTERNET,FAMI_TIENE_SERVICIOTV,FAMI_TIENECOMPUTADOR,FAMI_TIENELAVADORA,FAMI_TIENE_MICROONDAS,FAMI_TIENE_HORNO,FAMI_TIENEAUTOMOVIL,FAMI_TIENE_DVD,FAMI_TIENE_NEVERA,FAMI_TIENE_CELULAR,FAMI_TELEFONO,FAMI_INGRESO_FMILIAR_MENSUAL,ESTU_TRABAJA_ACTUALMENTE,ESTU_HORASSEMANATRABAJA,INST_NOMBRE_INSTITUCION,ESTU_PRGM_ACADEMICO,GRUPOREFERENCIA,ESTU_PRGM_CODMUNICIPIO,ESTU_PRGM_MUNICIPIO,ESTU_PRGM_DEPARTAMENTO,ESTU_NIVEL_PRGM_ACADEMICO,ESTU_METODO_PRGM,ESTU_INST_CODMUNICIPIO,ESTU_INST_MUNICIPIO,INST_CARACTER_ACADEMICO,INST_ORIGEN,MOD_RAZONA_CUANTITAT_PUNT,MOD_LECTURA_CRITICA_PUNT,MOD_COMPETEN_CIUDADA_PUNT,MOD_INGLES_PUNT,MOD_INGLES_DESEM,MOD_COMUNI_ESCRITA_PUNT,MOD_COMUNI_ESCRITA_DESEM,ESTU_ANO_EGRESO,ESTU_TOMO_CURSOPREPARACION,ESTU_CURSODOCENTESIES,ESTU_CURSOIESAPOYOEXTERNO,ESTU_CURSOIESEXTERNA,ESTU_SIMULACROTIPOICFES,ESTU_ACTIVIDADREFUERZOAREAS,ESTU_ACTIVIDADREFUERZOGENERIC,TOTAL,COD_DPTO,NOM_DPTO,COD_MPIO,NOM_MPIO,TIPO,LATITUD,LONGITUD,YEAR,ESTU_ETNIA,ESTU_LIMITA_MOTRIZ,ESTU_LIMITA_INVIDENTE,ESTU_LIMITA_SORDOCONINTERPRETE,ESTU_LIMITA_SORDOSININTERPRETE,ESTU_LIMITA_SORDOCEGUERA,ESTU_TIPODOCUMENTOÂ,ESTU_NACIONALIDADÂ,ESTU_GENEROÂ,ESTU_FECHANACIMIENTOÂ,PERIODOÂ,ESTU_CONSECUTIVOÂ,ESTU_ESTUDIANTEÂ,ESTU_PAIS_RESIDEÂ,ESTU_ETNIAÂ,ESTU_LIMITA_MOTRIZÂ,ESTU_LIMITA_INVIDENTEÂ,ESTU_LIMITA_SORDOCONINTERPRETEÂ,ESTU_LIMITA_SORDOSININTERPRETEÂ,ESTU_LIMITA_SORDOCEGUERAÂ,ESTU_DEPTO_RESIDEÂ,ESTU_COD_RESIDE_DEPTOÂ,ESTU_MCPIO_RESIDEÂ,ESTU_COD_RESIDE_MCPIOÂ,ESTU_ESTADOCIVILÂ,ESTU_COLE_TERMINOÂ,ESTU_CODDANE_COLE_TERMINOÂ,ESTU_COD_COLE_MCPIO_TERMINOÂ,ESTU_OTROCOLE_TERMINOÂ,ESTU_TITULOOBTENIDOBACHILLERÂ,ESTU_ANO_EXAMENESTADO_SB11Â,ESTU_SEMESTRE_EXAMENESTADOSB11Â,ESTU_PORCENTAJECREDITOSAPROBÂ,ESTU_VALORMATRICULAUNIVERSIDADÂ,ESTU_PAGOMATRICULABECAÂ,ESTU_PAGOMATRICULACREDITOÂ,ESTU_PAGOMATRICULAPADRESÂ,ESTU_PAGOMATRICULAPROPIOÂ,ESTU_TOMO_CURSOPREPARACIONÂ,ESTU_CURSODOCENTESIESÂ,ESTU_CURSOIESAPOYOEXTERNOÂ,ESTU_CURSOIESEXTERNAÂ,ESTU_SIMULACROTIPOICFESÂ,ESTU_ACTIVIDADREFUERZOAREASÂ,ESTU_ACTIVIDADREFUERZOGENERICÂ,ESTU_TIPODOCUMENTOSB11Â,ESTU_SEMESTRECURSAÂ,FAMI_HOGARACTUALÂ,FAMI_CABEZAFAMILIAÂ,FAMI_NUMPERSONASACARGOÂ,FAMI_EDUCACIONPADREÂ,FAMI_EDUCACIONMADREÂ,FAMI_OCUPACIONPADREÂ,FAMI_OCUPACIONMADREÂ,FAMI_ESTRATOVIVIENDAÂ,FAMI_NIVEL_SISBENÂ,FAMI_PERSONASHOGARÂ,FAMI_CUARTOSHOGARÂ,FAMI_PISOS_HOGARÂ,FAMI_TIENEINTERNETÂ,FAMI_TIENE_SERVICIOTVÂ,FAMI_TIENECOMPUTADORÂ,FAMI_TIENELAVADORAÂ,FAMI_TIENE_MICROONDASÂ,FAMI_TIENE_HORNOÂ,FAMI_TIENEAUTOMOVILÂ,FAMI_TIENE_DVDÂ,FAMI_TIENE_NEVERAÂ,FAMI_TIENE_CELULARÂ,FAMI_TELEFONOÂ,FAMI_INGRESO_FMILIAR_MENSUALÂ,ESTU_TRABAJA_ACTUALMENTEÂ,ESTU_HORASSEMANATRABAJAÂ,INST_COD_INSTITUCIONÂ,INST_NOMBRE_INSTITUCIONÂ,ESTU_PRGM_ACADEMICOÂ,ESTU_SNIES_PRGMACADEMICOÂ,GRUPOREFERENCIAÂ,ESTU_PRGM_CODMUNICIPIOÂ,ESTU_PRGM_MUNICIPIOÂ,ESTU_PRGM_DEPARTAMENTOÂ,ESTU_NIVEL_PRGM_ACADEMICOÂ,ESTU_METODO_PRGMÂ,ESTU_NUCLEO_PREGRADOÂ,ESTU_INST_CODMUNICIPIOÂ,ESTU_INST_MUNICIPIOÂ,ESTU_INST_DEPARTAMENTOÂ,INST_CARACTER_ACADEMICOÂ,INST_ORIGENÂ,ESTU_PRIVADO_LIBERTADÂ,ESTU_COD_MCPIO_PRESENTACIONÂ,ESTU_MCPIO_PRESENTACIONÂ,ESTU_DEPTO_PRESENTACIONÂ,ESTU_COD_DEPTO_PRESENTACIONÂ,MOD_RAZONA_CUANTITAT_PUNTÂ,MOD_LECTURA_CRITICA_PUNTÂ,MOD_COMPETEN_CIUDADA_PUNTÂ,MOD_INGLES_PUNTÂ,MOD_INGLES_DESEMÂ,MOD_COMUNI_ESCRITA_PUNTÂ,MOD_COMUNI_ESCRITA_DESEMÂ
0,F,28/05/1991,20123.0,EK201230071318,COLOMBIA,BOGOTA,11.0,BOGOTÁ D.C.,11001.0,Soltero,,,,,2007.0,Segundo semestre,Más del 90%,Entre 1 millón y menos de 3 millones,No,Si,Si,Si,10,,,,Es habitual o permanente,No,Ninguna,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) completa,Trabajador por cuenta propia,Empleado de nivel auxiliar o administrativo,Estrato 2,Nivel 2,Cuatro,Tres,"Madera pulida, baldosa, tableta, mármol, alfombra",No,No,Si,No,No,No,No,Si,Si,Si,Si,Entre 1 y menos de 2 SMLV,"Si, práctica obligatoria del programa de estudios",Ocho,CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-BOGOTÁ D.C.,ADMINISTRACION DE EMPRESAS,ADMINISTRACIÓN Y AFINES,11001.0,BOGOTÁ D.C.,BOGOTA,UNIVERSITARIO,PRESENCIAL,11001.0,BOGOTÁ D.C.,TÉCNICA PROFESIONAL,NO OFICIAL - CORPORACIÓN,18.8,21.8,20.0,19.2,A1,11.0,5.0,,No,No tomó Curso,No tomó Curso,No tomó curso,No,No,No,95.8,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",Municipio,"4,316107698","-74,1810727",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,M,19/07/1990,20123.0,EK201230039638,COLOMBIA,BOGOTA,11.0,BOGOTÁ D.C.,11001.0,Soltero,,,,,2007.0,Primer semestre,Más del 90%,Más de 5 millones,No,No,Si,No,08,,,,Es temporal por razones de estudio u otra razón,No,Ninguna,Postgrado,Educación profesional completa,Empresario,Empresario,Estrato 4,No está clasificada por el SISBEN,Tres,Dos,"Madera pulida, baldosa, tableta, mármol, alfombra",Si,Si,Si,Si,Si,Si,No,No,Si,Si,Si,Entre 3 y menos de 5 SMLV,No,,UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,BIOLOGIA,CIENCIAS NATURALES Y EXACTAS,11001.0,BOGOTÁ D.C.,BOGOTA,UNIVERSITARIO,PRESENCIAL,11001.0,BOGOTÁ D.C.,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,16.7,11.8,13.2,15.0,B+,12.1,7.0,,No,No tomó Curso,No tomó Curso,No tomó curso,No,No,No,75.8,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",Municipio,"4,316107698","-74,1810727",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,M,13/04/1990,20123.0,EK201230068895,COLOMBIA,BOGOTA,11.0,BOGOTÁ D.C.,11001.0,Soltero,,,,,2006.0,Segundo semestre,Más del 90%,Más de 5 millones,Si,No,No,No,12 o más,,,,Es habitual o permanente,No,Ninguna,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) completa,Trabajador por cuenta propia,Hogar,Estrato 3,Nivel 3,Cuatro,Tres,"Madera pulida, baldosa, tableta, mármol, alfombra",Si,No,Si,Si,Si,No,No,Si,Si,Si,Si,Entre 1 y menos de 2 SMLV,"Si, para adquirir experiencia y/o recursos para sus gastos personales",Doce,UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,MEDICINA,MEDICINA,11001.0,BOGOTÁ D.C.,BOGOTA,UNIVERSITARIO,PRESENCIAL,11001.0,BOGOTÁ D.C.,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,14.4,12.7,13.2,13.9,B+,12.9,8.0,,No,No tomó Curso,No tomó Curso,No tomó curso,No,No,No,75.1,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",Municipio,"4,316107698","-74,1810727",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,F,13/12/1990,20121.0,EK201210021544,COLOMBIA,BOGOTA,11.0,BOGOTÁ D.C.,11001.0,Soltero,,,,,2007.0,Primer semestre,Más del 90%,No pagó matrícula,,,,,09,,,,Es habitual o permanente,No,Ninguna,Postgrado,Educación profesional completa,Empleado de nivel técnico o profesional,Trabajador por cuenta propia,Estrato 4,No está clasificada por el SISBEN,Cinco,Cuatro,"Madera pulida, baldosa, tableta, mármol, alfombra",Si,Si,Si,Si,Si,Si,Si,Si,Si,No,Si,Entre 7 y menos de 10 SMLV,"Si, para adquirir experiencia y/o recursos para sus gastos personales",Veinte,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO-BOGOTÁ D.C.,FINANZAS Y COMERCIO INTERNACIONAL,ECONOMIA,11001.0,BOGOTÁ D.C.,BOGOTA,UNIVERSITARIO,PRESENCIAL,11001.0,BOGOTÁ D.C.,UNIVERSIDAD,NO OFICIAL - FUNDACIÓN,15.9,12.5,12.8,14.4,B+,12.2,7.0,,,,,,,,,74.8,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",Municipio,"4,316107698","-74,1810727",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,F,12/12/1989,20123.0,EK201230029797,COLOMBIA,BOGOTA,11.0,BOGOTÁ D.C.,11001.0,Soltero,,,,,2007.0,Segundo semestre,Entre el 81% y el 90%,Menos de 500 mil,,,,Si,10,,,,Es habitual o permanente,No,Ninguna,Educación profesional completa,Técnica o tecnológica completa,Profesional independiente,Hogar,Estrato 5,No está clasificada por el SISBEN,Seis,Tres,"Mármol, madera pulida, alfombra, tapete pared a pared",Si,No,Si,Si,No,No,No,Si,Si,Si,Si,Menos de 1 SMLV,No,,UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.,FARMACIA,SALUD,11001.0,BOGOTÁ D.C.,BOGOTA,UNIVERSITARIO,PRESENCIAL,11001.0,BOGOTÁ D.C.,UNIVERSIDAD,OFICIAL NACIONAL,12.2,13.9,13.2,14.4,B+,13.1,8.0,,No,No tomó Curso,No tomó Curso,No tomó curso,No,No,No,74.8,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",Municipio,"4,316107698","-74,1810727",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,M,30/09/1988,20121.0,EK201210039363,COLOMBIA,BOGOTA,11.0,BOGOTÁ D.C.,11001.0,Soltero,,,,2007.0,2007.0,Primer semestre,Más del 90%,Más de 5 millones,,,Si,,10,,,,Es habitual o permanente,Si,Ninguna,Postgrado,Educación profesional completa,Directivo,Hogar,Estrato 4,No está clasificada por el SISBEN,Una,Dos,"Mármol, madera pulida, alfombra, tapete pared a pared",Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Entre 3 y menos de 5 SMLV,No,,UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,ECONOMIA,ECONOMIA,11001.0,BOGOTÁ D.C.,BOGOTA,UNIVERSITARIO,PRESENCIAL,11001.0,BOGOTÁ D.C.,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,14.5,12.2,13.9,14.4,B+,12.5,7.0,,,,,,,,,74.5,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",Municipio,"4,316107698","-74,1810727",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,F,21/04/1991,20121.0,EK201210028549,COLOMBIA,BOGOTA,11.0,BOGOTÁ D.C.,11001.0,Unión libre,,,,,2007.0,Segundo semestre,Entre el 81% y el 90%,Menos de 500 mil,No,No,Si,Si,09,,,,Es habitual o permanente,No,Ninguna,Secundaria (Bachillerato) completa,Técnica o tecnológica completa,Empleado de nivel técnico o profesional,Hogar,Estrato 3,No está clasificada por el SISBEN,Dos,Uno,"Madera pulida, baldosa, tableta, mármol, alfombra",Si,Si,Si,Si,Si,No,No,Si,Si,Si,Si,Entre 1 y menos de 2 SMLV,"Si, para contribuir a pagar su matrícula y/o los gastos del hogar",Diez,UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.,FILOSOFIA,HUMANIDADES,11001.0,BOGOTÁ D.C.,BOGOTA,UNIVERSITARIO,PRESENCIAL,11001.0,BOGOTÁ D.C.,UNIVERSIDAD,OFICIAL NACIONAL,13.7,12.9,12.8,13.9,B+,12.8,8.0,,,,,,,,,74.10000000000001,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",Municipio,"4,316107698","-74,1810727",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,M,16/09/1989,20123.0,EK201230034355,COLOMBIA,BOGOTA,11.0,BOGOTÁ D.C.,11001.0,Soltero,,,,2008.0,2008.0,Primer semestre,Más del 90%,Más de 5 millones,No,No,Si,No,09,,,,Es habitual o permanente,No,Ninguna,Educación profesional completa,Educación profesional completa,Directivo,Directivo,Estrato 5,No está clasificada por el SISBEN,Cuatro,Tres,"Madera pulida, baldosa, tableta, mármol, alfombra",Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,10 o más SMLV,"Si, para adquirir experiencia y/o recursos para sus gastos personales",Veinte,UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,ECONOMIA,ECONOMIA,11001.0,BOGOTÁ D.C.,BOGOTA,UNIVERSITARIO,PRESENCIAL,11001.0,BOGOTÁ D.C.,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,14.2,11.5,12.4,15.0,B+,13.0,8.0,,No,No tomó Curso,No tomó Curso,No tomó curso,No,No,No,74.1,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",Municipio,"4,316107698","-74,1810727",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,M,07/05/1990,20123.0,EK201230028319,COLOMBIA,BOGOTA,11.0,BOGOTÁ D.C.,11001.0,Soltero,,,,,2008.0,Primer semestre,Más del 90%,Más de 5 millones,No,Si,Si,No,09,,,,Es habitual o permanente,No,Ninguna,Educación profesional incompleta,Educación profesional completa,Empleado de nivel técnico o profesional,Pequeño empresario,Estrato 5,No está clasificada por el SISBEN,Cuatro,Tres,"Mármol, madera pulida, alfombra, tapete pared a pared",Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,10 o más SMLV,No,,UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,ADMINISTRACION DE EMPRESAS,ADMINISTRACIÓN Y AFINES,11001.0,BOGOTÁ D.C.,BOGOTA,UNIVERSITARIO,PRESENCIAL,11001.0,BOGOTÁ D.C.,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,13.4,12.3,12.5,15.0,B+,12.8,8.0,,No,No tomó Curso,No tomó Curso,No tomó curso,No,No,No,74.0,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",Municipio,"4,316107698","-74,1810727",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,F,25/04/1989,20121.0,EK201210023858,COLOMBIA,BOGOTA,11.0,BOGOTÁ D.C.,11001.0,Soltero,,,,,2007.0,Primer semestre,Más del 90%,Más de 5 millones,No,No,Si,No,09,,,,Es habitual o permanente,No,Ninguna,Postgrado,Postgrado,Directivo,Directivo,Estrato 6,No está clasificada por el SISBEN,Cinco,Tres,"Mármol, madera pulida, alfombra, tapete pared a pared",Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,10 o más SMLV,"Si, práctica obligatoria del programa de estudios",Veinte,COLEGIO DE ESTUDIOS SUPERIORES DE ADMINISTRACION-CESA-BOGOTÁ D.C.,ADMINISTRACION DE EMPRESAS,ADMINISTRACIÓN Y AFINES,11001.0,BOGOTÁ D.C.,BOGOTA,UNIVERSITARIO,PRESENCIAL,11001.0,BOGOTÁ D.C.,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - FUNDACIÓN,14.5,12.5,12.8,13.3,B+,12.9,8.0,,,,,,,,,74.0,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",Municipio,"4,316107698","-74,1810727",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
